"","FECHA","Nro_Vehiculos","NRO_TOTAL_VEHICULOS"
"211",2012-07-29,5,5
"212",2012-07-30,1150,1150
"213",2012-07-31,1452,1452
"214",2012-08-01,1095,1095
"215",2012-08-02,1122,1122
"216",2012-08-03,1168,1168
"217",2012-08-04,346,346
"218",2012-08-05,3,3
"219",2012-08-06,832,832
"220",2012-08-07,59,59
"221",2012-08-08,1204,1204
"222",2012-08-09,1233,1233
"223",2012-08-10,1284,1284
"224",2012-08-11,380,380
"225",2012-08-12,4,4
"226",2012-08-13,915,915
"227",2012-08-14,1155,1155
"228",2012-08-15,1324,1324
"229",2012-08-16,1355,1355
"230",2012-08-17,1411,1411
"231",2012-08-18,418,418
"232",2012-08-19,4,4
"233",2012-08-20,57,57
"234",2012-08-21,1269,1269
"235",2012-08-22,1455,1455
"236",2012-08-23,1490,1490
"237",2012-08-24,1551,1551
"238",2012-08-25,459,459
"239",2012-08-26,4,4
"240",2012-08-27,1105,1105
"241",2012-08-28,1395,1395
"242",2012-08-29,1599,1599
"243",2012-08-30,1638,1638
"244",2012-08-31,1705,1705
"245",2012-09-01,332,332
"246",2012-09-02,3,3
"247",2012-09-03,800,800
"248",2012-09-04,1010,1010
"249",2012-09-05,1157,1157
"250",2012-09-06,1185,1185
"251",2012-09-07,1234,1234
"252",2012-09-08,365,365
"253",2012-09-09,3,3
"254",2012-09-10,879,879
"255",2012-09-11,1110,1110
"256",2012-09-12,1272,1272
"257",2012-09-13,1302,1302
"258",2012-09-14,1356,1356
"259",2012-09-15,401,401
"260",2012-09-16,4,4
"261",2012-09-17,966,966
"262",2012-09-18,1220,1220
"263",2012-09-19,1398,1398
"264",2012-09-20,1432,1432
"265",2012-09-21,1491,1491
"266",2012-09-22,441,441
"267",2012-09-23,4,4
"268",2012-09-24,1062,1062
"269",2012-09-25,1341,1341
"270",2012-09-26,1537,1537
"271",2012-09-27,1574,1574
"272",2012-09-28,1638,1638
"273",2012-09-29,485,485
"274",2012-09-30,5,5
"275",2012-10-01,814,814
"276",2012-10-02,1028,1028
"277",2012-10-03,1178,1178
"278",2012-10-04,1207,1207
"279",2012-10-05,1256,1256
"280",2012-10-06,372,372
"281",2012-10-07,4,4
"282",2012-10-08,895,895
"283",2012-10-09,1130,1130
"284",2012-10-10,1295,1295
"285",2012-10-11,1327,1327
"286",2012-10-12,1381,1381
"287",2012-10-13,409,409
"288",2012-10-14,4,4
"289",2012-10-15,55,55
"290",2012-10-16,1242,1242
"291",2012-10-17,1424,1424
"292",2012-10-18,1458,1458
"293",2012-10-19,1518,1518
"294",2012-10-20,449,449
"295",2012-10-21,4,4
"296",2012-10-22,1081,1081
"297",2012-10-23,1366,1366
"298",2012-10-24,1565,1565
"299",2012-10-25,1603,1603
"300",2012-10-26,1669,1669
"301",2012-10-27,494,494
"302",2012-10-28,5,5
"303",2012-10-29,1189,1189
"304",2012-10-30,1501,1501
"305",2012-10-31,2185,2185
"306",2012-11-01,1160,1160
"307",2012-11-02,1207,1207
"308",2012-11-03,357,357
"309",2012-11-04,3,3
"310",2012-11-05,49,49
"311",2012-11-06,1086,1086
"312",2012-11-07,1245,1245
"313",2012-11-08,1275,1275
"314",2012-11-09,1327,1327
"315",2012-11-10,393,393
"316",2012-11-11,4,4
"317",2012-11-12,53,53
"318",2012-11-13,1194,1194
"319",2012-11-14,1368,1368
"320",2012-11-15,1401,1401
"321",2012-11-16,1459,1459
"322",2012-11-17,432,432
"323",2012-11-18,4,4
"324",2012-11-19,1039,1039
"325",2012-11-20,1312,1312
"326",2012-11-21,1504,1504
"327",2012-11-22,1540,1540
"328",2012-11-23,1604,1604
"329",2012-11-24,475,475
"330",2012-11-25,4,4
"331",2012-11-26,1142,1142
"332",2012-11-27,1442,1442
"333",2012-11-28,1653,1653
"334",2012-11-29,1693,1693
"335",2012-11-30,1763,1763
"336",2012-12-01,364,364
"337",2012-12-02,3,3
"338",2012-12-03,876,876
"339",2012-12-04,1106,1106
"340",2012-12-05,1268,1268
"341",2012-12-06,1298,1298
"342",2012-12-07,1352,1352
"343",2012-12-08,23,23
"344",2012-12-09,4,4
"345",2012-12-10,963,963
"346",2012-12-11,1216,1216
"347",2012-12-12,1394,1394
"348",2012-12-13,1427,1427
"349",2012-12-14,1486,1486
"350",2012-12-15,440,440
"351",2012-12-16,4,4
"352",2012-12-17,1058,1058
"353",2012-12-18,1337,1337
"354",2012-12-19,1532,1532
"355",2012-12-20,1569,1569
"356",2012-12-21,1633,1633
"357",2012-12-22,484,484
"358",2012-12-23,5,5
"359",2012-12-24,1163,1163
"360",2012-12-25,0,0
"361",2012-12-26,1684,1684
"362",2012-12-27,1724,1724
"363",2012-12-28,1795,1795
"364",2012-12-29,532,532
"365",2012-12-30,5,5
"366",2012-12-31,356,356
"367",2013-01-01,0,0
"368",2013-01-02,855,855
"369",2013-01-03,875,875
"370",2013-01-04,911,911
"371",2013-01-05,270,270
"372",2013-01-06,3,3
"373",2013-01-07,649,649
"374",2013-01-08,820,820
"375",2013-01-09,939,939
"376",2013-01-10,962,962
"377",2013-01-11,1002,1002
"378",2013-01-12,297,297
"379",2013-01-13,3,3
"380",2013-01-14,40,40
"381",2013-01-15,901,901
"382",2013-01-16,1033,1033
"383",2013-01-17,1057,1057
"384",2013-01-18,1101,1101
"385",2013-01-19,326,326
"386",2013-01-20,3,3
"387",2013-01-21,784,784
"388",2013-01-22,990,990
"389",2013-01-23,1135,1135
"390",2013-01-24,1162,1162
"391",2013-01-25,1210,1210
"392",2013-01-26,358,358
"393",2013-01-27,3,3
"394",2013-01-28,862,862
"395",2013-01-29,1088,1088
"396",2013-01-30,1248,1248
"397",2013-01-31,1278,1278
"398",2013-02-01,876,876
"399",2013-02-02,259,259
"400",2013-02-03,2,2
"401",2013-02-04,624,624
"402",2013-02-05,788,788
"403",2013-02-06,903,903
"404",2013-02-07,924,924
"405",2013-02-08,962,962
"406",2013-02-09,285,285
"407",2013-02-10,3,3
"408",2013-02-11,686,686
"409",2013-02-12,866,866
"410",2013-02-13,992,992
"411",2013-02-14,1016,1016
"412",2013-02-15,1058,1058
"413",2013-02-16,313,313
"414",2013-02-17,3,3
"415",2013-02-18,754,754
"416",2013-02-19,952,952
"417",2013-02-20,1091,1091
"418",2013-02-21,1117,1117
"419",2013-02-22,1163,1163
"420",2013-02-23,344,344
"421",2013-02-24,3,3
"422",2013-02-25,828,828
"423",2013-02-26,1046,1046
"424",2013-02-27,1199,1199
"425",2013-02-28,1228,1228
"426",2013-03-01,1002,1002
"427",2013-03-02,297,297
"428",2013-03-03,3,3
"429",2013-03-04,714,714
"430",2013-03-05,901,901
"431",2013-03-06,1033,1033
"432",2013-03-07,1058,1058
"433",2013-03-08,1101,1101
"434",2013-03-09,326,326
"435",2013-03-10,3,3
"436",2013-03-11,784,784
"437",2013-03-12,991,991
"438",2013-03-13,1135,1135
"439",2013-03-14,1163,1163
"440",2013-03-15,1210,1210
"441",2013-03-16,358,358
"442",2013-03-17,3,3
"443",2013-03-18,862,862
"444",2013-03-19,1089,1089
"445",2013-03-20,1248,1248
"446",2013-03-21,1278,1278
"447",2013-03-22,1330,1330
"448",2013-03-23,394,394
"449",2013-03-24,2,2
"450",2013-03-25,478,478
"451",2013-03-26,603,603
"452",2013-03-27,691,691
"453",2013-03-28,708,708
"454",2013-03-29,737,737
"455",2013-03-30,218,218
"456",2013-03-31,4,4
"457",2013-04-01,686,686
"458",2013-04-02,866,866
"459",2013-04-03,992,992
"460",2013-04-04,1016,1016
"461",2013-04-05,1058,1058
"462",2013-04-06,313,313
"463",2013-04-07,3,3
"464",2013-04-08,754,754
"465",2013-04-09,952,952
"466",2013-04-10,1091,1091
"467",2013-04-11,1117,1117
"468",2013-04-12,1163,1163
"469",2013-04-13,344,344
"470",2013-04-14,3,3
"471",2013-04-15,829,829
"472",2013-04-16,1046,1046
"473",2013-04-17,1199,1199
"474",2013-04-18,1228,1228
"475",2013-04-19,1278,1278
"476",2013-04-20,379,379
"477",2013-04-21,4,4
"478",2013-04-22,911,911
"479",2013-04-23,1150,1150
"480",2013-04-24,1318,1318
"481",2013-04-25,1350,1350
"482",2013-04-26,1405,1405
"483",2013-04-27,416,416
"484",2013-04-28,4,4
"485",2013-04-29,1001,1001
"486",2013-04-30,1264,1264
"487",2013-05-01,57,57
"488",2013-05-02,1035,1035
"489",2013-05-03,1078,1078
"490",2013-05-04,319,319
"491",2013-05-05,3,3
"492",2013-05-06,768,768
"493",2013-05-07,969,969
"494",2013-05-08,1111,1111
"495",2013-05-09,1138,1138
"496",2013-05-10,1185,1185
"497",2013-05-11,351,351
"498",2013-05-12,0,0
"499",2013-05-13,48,48
"500",2013-05-14,1066,1066
"501",2013-05-15,1221,1221
"502",2013-05-16,1251,1251
"503",2013-05-17,1302,1302
"504",2013-05-18,386,386
"505",2013-05-19,4,4
"506",2013-05-20,928,928
"507",2013-05-21,1171,1171
"508",2013-05-22,1342,1342
"509",2013-05-23,1375,1375
"510",2013-05-24,1431,1431
"511",2013-05-25,424,424
"512",2013-05-26,4,4
"513",2013-05-27,1020,1020
"514",2013-05-28,1288,1288
"515",2013-05-29,1476,1476
"516",2013-05-30,1511,1511
"517",2013-05-31,1573,1573
"518",2013-06-01,307,307
"519",2013-06-02,3,3
"520",2013-06-03,42,42
"521",2013-06-04,932,932
"522",2013-06-05,1068,1068
"523",2013-06-06,1093,1093
"524",2013-06-07,1138,1138
"525",2013-06-08,337,337
"526",2013-06-09,3,3
"527",2013-06-10,46,46
"528",2013-06-11,1024,1024
"529",2013-06-12,1174,1174
"530",2013-06-13,1202,1202
"531",2013-06-14,1251,1251
"532",2013-06-15,370,370
"533",2013-06-16,3,3
"534",2013-06-17,891,891
"535",2013-06-18,1126,1126
"536",2013-06-19,1290,1290
"537",2013-06-20,1321,1321
"538",2013-06-21,1375,1375
"539",2013-06-22,407,407
"540",2013-06-23,4,4
"541",2013-06-24,980,980
"542",2013-06-25,1237,1237
"543",2013-06-26,1418,1418
"544",2013-06-27,1452,1452
"545",2013-06-28,1512,1512
"546",2013-06-29,448,448
"547",2013-06-30,4,4
"548",2013-07-01,42,42
"549",2013-07-02,949,949
"550",2013-07-03,1087,1087
"551",2013-07-04,1114,1114
"552",2013-07-05,1159,1159
"553",2013-07-06,343,343
"554",2013-07-07,3,3
"555",2013-07-08,826,826
"556",2013-07-09,1043,1043
"557",2013-07-10,1195,1195
"558",2013-07-11,1224,1224
"559",2013-07-12,1274,1274
"560",2013-07-13,377,377
"561",2013-07-14,4,4
"562",2013-07-15,908,908
"563",2013-07-16,1146,1146
"564",2013-07-17,1314,1314
"565",2013-07-18,1346,1346
"566",2013-07-19,1401,1401
"567",2013-07-20,23,23
"568",2013-07-21,4,4
"569",2013-07-22,998,998
"570",2013-07-23,1260,1260
"571",2013-07-24,1444,1444
"572",2013-07-25,1479,1479
"573",2013-07-26,1540,1540
"574",2013-07-27,456,456
"575",2013-07-28,4,4
"576",2013-07-29,1097,1097
"577",2013-07-30,1385,1385
"578",2013-07-31,1587,1587
"579",2013-08-01,1070,1070
"580",2013-08-02,1114,1114
"581",2013-08-03,330,330
"582",2013-08-04,3,3
"583",2013-08-05,794,794
"584",2013-08-06,1002,1002
"585",2013-08-07,65,65
"586",2013-08-08,1176,1176
"587",2013-08-09,1225,1225
"588",2013-08-10,363,363
"589",2013-08-11,3,3
"590",2013-08-12,872,872
"591",2013-08-13,1102,1102
"592",2013-08-14,1263,1263
