"","FECHA","UNIDADES","YEAR","DIA","MES","DIA_SEMANA","FESTIVIDAD"
"101",2012-04-10,1196,2012,10,4,"martes","dia_habil"
"102",2012-04-11,1467,2012,11,4,"miercoles","dia_habil"
"103",2012-04-12,1456,2012,12,4,"jueves","dia_habil"
"104",2012-04-13,1369,2012,13,4,"viernes","dia_habil"
"105",2012-04-14,422,2012,14,4,"sabado","dia_habil"
"106",2012-04-15,0,2012,15,4,"domingo","dia_habil"
"107",2012-04-16,795,2012,16,4,"lunes","dia_habil"
"108",2012-04-17,1067,2012,17,4,"martes","dia_habil"
"109",2012-04-18,1360,2012,18,4,"miercoles","dia_habil"
"110",2012-04-19,1083,2012,19,4,"jueves","dia_habil"
"111",2012-04-20,1443,2012,20,4,"viernes","dia_habil"
"112",2012-04-21,310,2012,21,4,"sabado","dia_habil"
"113",2012-04-22,0,2012,22,4,"domingo","dia_habil"
"114",2012-04-23,965,2012,23,4,"lunes","dia_habil"
"115",2012-04-24,1143,2012,24,4,"martes","dia_habil"
"116",2012-04-25,1361,2012,25,4,"miercoles","dia_habil"
"117",2012-04-26,1264,2012,26,4,"jueves","dia_habil"
"118",2012-04-27,737,2012,27,4,"viernes","dia_habil"
"119",2012-04-28,515,2012,28,4,"sabado","dia_habil"
"120",2012-04-29,34,2012,29,4,"domingo","dia_habil"
"121",2012-04-30,1286,2012,30,4,"lunes","dia_habil"
"122",2012-05-01,3,2012,1,5,"martes","festivo"
"123",2012-05-02,965,2012,2,5,"miercoles","dia_habil"
"124",2012-05-03,1228,2012,3,5,"jueves","dia_habil"
"125",2012-05-04,1349,2012,4,5,"viernes","dia_habil"
"126",2012-05-05,375,2012,5,5,"sabado","dia_habil"
"127",2012-05-06,0,2012,6,5,"domingo","dia_habil"
"128",2012-05-07,985,2012,7,5,"lunes","dia_habil"
"129",2012-05-08,1353,2012,8,5,"martes","dia_habil"
"130",2012-05-09,1426,2012,9,5,"miercoles","dia_habil"
"131",2012-05-10,1393,2012,10,5,"jueves","dia_habil"
"132",2012-05-11,1455,2012,11,5,"viernes","dia_habil"
"133",2012-05-12,230,2012,12,5,"sabado","dia_habil"
"134",2012-05-13,1,2012,13,5,"domingo","madres"
"135",2012-05-14,1055,2012,14,5,"lunes","dia_habil"
"136",2012-05-15,1276,2012,15,5,"martes","dia_habil"
"137",2012-05-16,1314,2012,16,5,"miercoles","dia_habil"
"138",2012-05-17,1388,2012,17,5,"jueves","dia_habil"
"139",2012-05-18,1282,2012,18,5,"viernes","dia_habil"
"140",2012-05-19,437,2012,19,5,"sabado","dia_habil"
"141",2012-05-20,15,2012,20,5,"domingo","dia_habil"
"142",2012-05-21,0,2012,21,5,"lunes","festivo"
"143",2012-05-22,940,2012,22,5,"martes","dia_habil"
"144",2012-05-23,1045,2012,23,5,"miercoles","dia_habil"
"145",2012-05-24,1198,2012,24,5,"jueves","dia_habil"
"146",2012-05-25,1338,2012,25,5,"viernes","dia_habil"
"147",2012-05-26,436,2012,26,5,"sabado","dia_habil"
"148",2012-05-27,0,2012,27,5,"domingo","dia_habil"
"149",2012-05-28,894,2012,28,5,"lunes","dia_habil"
"150",2012-05-29,1146,2012,29,5,"martes","dia_habil"
"151",2012-05-30,1283,2012,30,5,"miercoles","dia_habil"
"152",2012-05-31,1256,2012,31,5,"jueves","dia_habil"
"153",2012-06-01,1222,2012,1,6,"viernes","dia_habil"
"154",2012-06-02,323,2012,2,6,"sabado","dia_habil"
"155",2012-06-03,1,2012,3,6,"domingo","dia_habil"
"156",2012-06-04,953,2012,4,6,"lunes","dia_habil"
"157",2012-06-05,1156,2012,5,6,"martes","dia_habil"
"158",2012-06-06,1404,2012,6,6,"miercoles","dia_habil"
"159",2012-06-07,1453,2012,7,6,"jueves","dia_habil"
"160",2012-06-08,1460,2012,8,6,"viernes","dia_habil"
"161",2012-06-09,471,2012,9,6,"sabado","dia_habil"
"162",2012-06-10,0,2012,10,6,"domingo","dia_habil"
"163",2012-06-11,0,2012,11,6,"lunes","festivo"
"164",2012-06-12,919,2012,12,6,"martes","dia_habil"
"165",2012-06-13,1206,2012,13,6,"miercoles","dia_habil"
"166",2012-06-14,1390,2012,14,6,"jueves","dia_habil"
"167",2012-06-15,1337,2012,15,6,"viernes","dia_habil"
"168",2012-06-16,348,2012,16,6,"sabado","dia_habil"
"169",2012-06-17,30,2012,17,6,"domingo","dia_habil"
"170",2012-06-18,0,2012,18,6,"lunes","festivo"
"171",2012-06-19,987,2012,19,6,"martes","dia_habil"
"172",2012-06-20,1116,2012,20,6,"miercoles","dia_habil"
"173",2012-06-21,1300,2012,21,6,"jueves","dia_habil"
"174",2012-06-22,1330,2012,22,6,"viernes","dia_habil"
"175",2012-06-23,352,2012,23,6,"sabado","dia_habil"
"176",2012-06-24,7,2012,24,6,"domingo","dia_habil"
"177",2012-06-25,541,2012,25,6,"lunes","dia_habil"
"178",2012-06-26,625,2012,26,6,"martes","dia_habil"
"179",2012-06-27,1493,2012,27,6,"miercoles","dia_habil"
"180",2012-06-28,1510,2012,28,6,"jueves","dia_habil"
"181",2012-06-29,1396,2012,29,6,"viernes","dia_habil"
"182",2012-06-30,361,2012,30,6,"sabado","dia_habil"
"183",2012-07-01,1,2012,1,7,"domingo","dia_habil"
"184",2012-07-02,2,2012,2,7,"lunes","festivo"
"185",2012-07-03,853,2012,3,7,"martes","dia_habil"
"186",2012-07-04,1267,2012,4,7,"miercoles","dia_habil"
"187",2012-07-05,1250,2012,5,7,"jueves","dia_habil"
"188",2012-07-06,1416,2012,6,7,"viernes","dia_habil"
"189",2012-07-07,619,2012,7,7,"sabado","dia_habil"
"190",2012-07-08,1,2012,8,7,"domingo","dia_habil"
"191",2012-07-09,978,2012,9,7,"lunes","dia_habil"
"192",2012-07-10,1246,2012,10,7,"martes","dia_habil"
"193",2012-07-11,1271,2012,11,7,"miercoles","dia_habil"
"194",2012-07-12,1242,2012,12,7,"jueves","dia_habil"
"195",2012-07-13,1510,2012,13,7,"viernes","dia_habil"
"196",2012-07-14,390,2012,14,7,"sabado","dia_habil"
"197",2012-07-15,0,2012,15,7,"domingo","dia_habil"
"198",2012-07-16,831,2012,16,7,"lunes","dia_habil"
"199",2012-07-17,1105,2012,17,7,"martes","dia_habil"
"200",2012-07-18,1181,2012,18,7,"miercoles","dia_habil"
"201",2012-07-19,1515,2012,19,7,"jueves","dia_habil"
"202",2012-07-20,23,2012,20,7,"viernes","festivo"
"203",2012-07-21,325,2012,21,7,"sabado","dia_habil"
"204",2012-07-22,0,2012,22,7,"domingo","dia_habil"
"205",2012-07-23,875,2012,23,7,"lunes","dia_habil"
"206",2012-07-24,1094,2012,24,7,"martes","dia_habil"
"207",2012-07-25,1386,2012,25,7,"miercoles","dia_habil"
"208",2012-07-26,1298,2012,26,7,"jueves","dia_habil"
"209",2012-07-27,1400,2012,27,7,"viernes","dia_habil"
"210",2012-07-28,389,2012,28,7,"sabado","dia_habil"
"211",2012-07-29,1,2012,29,7,"domingo","dia_habil"
"212",2012-07-30,1030,2012,30,7,"lunes","dia_habil"
"213",2012-07-31,1139,2012,31,7,"martes","dia_habil"
"214",2012-08-01,1157,2012,1,8,"miercoles","dia_habil"
"215",2012-08-02,1242,2012,2,8,"jueves","dia_habil"
"216",2012-08-03,1315,2012,3,8,"viernes","dia_habil"
"217",2012-08-04,439,2012,4,8,"sabado","dia_habil"
"218",2012-08-05,0,2012,5,8,"domingo","dia_habil"
"219",2012-08-06,959,2012,6,8,"lunes","dia_habil"
"220",2012-08-07,1,2012,7,8,"martes","festivo"
"221",2012-08-08,1116,2012,8,8,"miercoles","dia_habil"
"222",2012-08-09,1359,2012,9,8,"jueves","dia_habil"
"223",2012-08-10,1369,2012,10,8,"viernes","dia_habil"
"224",2012-08-11,370,2012,11,8,"sabado","dia_habil"
"225",2012-08-12,21,2012,12,8,"domingo","dia_habil"
"226",2012-08-13,980,2012,13,8,"lunes","dia_habil"
"227",2012-08-14,1141,2012,14,8,"martes","dia_habil"
"228",2012-08-15,1195,2012,15,8,"miercoles","dia_habil"
"229",2012-08-16,1320,2012,16,8,"jueves","dia_habil"
"230",2012-08-17,1235,2012,17,8,"viernes","dia_habil"
"231",2012-08-18,365,2012,18,8,"sabado","dia_habil"
"232",2012-08-19,0,2012,19,8,"domingo","dia_habil"
"233",2012-08-20,0,2012,20,8,"lunes","festivo"
"234",2012-08-21,809,2012,21,8,"martes","dia_habil"
"235",2012-08-22,1036,2012,22,8,"miercoles","dia_habil"
"236",2012-08-23,1223,2012,23,8,"jueves","dia_habil"
"237",2012-08-24,1113,2012,24,8,"viernes","dia_habil"
"238",2012-08-25,490,2012,25,8,"sabado","dia_habil"
"239",2012-08-26,62,2012,26,8,"domingo","dia_habil"
"240",2012-08-27,792,2012,27,8,"lunes","dia_habil"
"241",2012-08-28,1131,2012,28,8,"martes","dia_habil"
"242",2012-08-29,1157,2012,29,8,"miercoles","dia_habil"
"243",2012-08-30,1296,2012,30,8,"jueves","dia_habil"
"244",2012-08-31,1295,2012,31,8,"viernes","dia_habil"
"245",2012-09-01,280,2012,1,9,"sabado","dia_habil"
"246",2012-09-02,1,2012,2,9,"domingo","dia_habil"
"247",2012-09-03,829,2012,3,9,"lunes","dia_habil"
"248",2012-09-04,1008,2012,4,9,"martes","dia_habil"
"249",2012-09-05,1035,2012,5,9,"miercoles","dia_habil"
"250",2012-09-06,1368,2012,6,9,"jueves","dia_habil"
