FECHA;YEAR;DIA;MES;DIA_SEMANA;FESTIVIDAD
12/05/2012;2012;12;5;sabado;dia_habil
13/05/2012;2012;13;5;domingo;madres
14/05/2012;2012;14;5;lunes;dia_habil
15/05/2012;2012;15;5;martes;dia_habil
16/05/2012;2012;16;5;miercoles;dia_habil
17/05/2012;2012;17;5;jueves;dia_habil
18/05/2012;2012;18;5;viernes;dia_habil
19/05/2012;2012;19;5;sabado;dia_habil
20/05/2012;2012;20;5;domingo;dia_habil
21/05/2012;2012;21;5;lunes;festivo
22/05/2012;2012;22;5;martes;dia_habil
23/05/2012;2012;23;5;miercoles;dia_habil
24/05/2012;2012;24;5;jueves;dia_habil
25/05/2012;2012;25;5;viernes;dia_habil
26/05/2012;2012;26;5;sabado;dia_habil
27/05/2012;2012;27;5;domingo;dia_habil
28/05/2012;2012;28;5;lunes;dia_habil
29/05/2012;2012;29;5;martes;dia_habil
30/05/2012;2012;30;5;miercoles;dia_habil
31/05/2012;2012;31;5;jueves;dia_habil
1/06/2012;2012;1;6;viernes;dia_habil
2/06/2012;2012;2;6;sabado;dia_habil
3/06/2012;2012;3;6;domingo;dia_habil
4/06/2012;2012;4;6;lunes;dia_habil
5/06/2012;2012;5;6;martes;dia_habil
6/06/2012;2012;6;6;miercoles;dia_habil
7/06/2012;2012;7;6;jueves;dia_habil
8/06/2012;2012;8;6;viernes;dia_habil
9/06/2012;2012;9;6;sabado;dia_habil
10/06/2012;2012;10;6;domingo;dia_habil
11/06/2012;2012;11;6;lunes;festivo
12/06/2012;2012;12;6;martes;dia_habil
13/06/2012;2012;13;6;miercoles;dia_habil
14/06/2012;2012;14;6;jueves;dia_habil
15/06/2012;2012;15;6;viernes;dia_habil
16/06/2012;2012;16;6;sabado;dia_habil
17/06/2012;2012;17;6;domingo;dia_habil
18/06/2012;2012;18;6;lunes;festivo
19/06/2012;2012;19;6;martes;dia_habil
20/06/2012;2012;20;6;miercoles;dia_habil
21/06/2012;2012;21;6;jueves;dia_habil
22/06/2012;2012;22;6;viernes;dia_habil
23/06/2012;2012;23;6;sabado;dia_habil
24/06/2012;2012;24;6;domingo;dia_habil
25/06/2012;2012;25;6;lunes;dia_habil
26/06/2012;2012;26;6;martes;dia_habil
27/06/2012;2012;27;6;miercoles;dia_habil
28/06/2012;2012;28;6;jueves;dia_habil
29/06/2012;2012;29;6;viernes;dia_habil
30/06/2012;2012;30;6;sabado;dia_habil
1/07/2012;2012;1;7;domingo;dia_habil
2/07/2012;2012;2;7;lunes;festivo
3/07/2012;2012;3;7;martes;dia_habil
4/07/2012;2012;4;7;miercoles;dia_habil
5/07/2012;2012;5;7;jueves;dia_habil
6/07/2012;2012;6;7;viernes;dia_habil
7/07/2012;2012;7;7;sabado;dia_habil
8/07/2012;2012;8;7;domingo;dia_habil
9/07/2012;2012;9;7;lunes;dia_habil
10/07/2012;2012;10;7;martes;dia_habil
11/07/2012;2012;11;7;miercoles;dia_habil
12/07/2012;2012;12;7;jueves;dia_habil
13/07/2012;2012;13;7;viernes;dia_habil
14/07/2012;2012;14;7;sabado;dia_habil
15/07/2012;2012;15;7;domingo;dia_habil
16/07/2012;2012;16;7;lunes;dia_habil
17/07/2012;2012;17;7;martes;dia_habil
18/07/2012;2012;18;7;miercoles;dia_habil
19/07/2012;2012;19;7;jueves;dia_habil
20/07/2012;2012;20;7;viernes;festivo
21/07/2012;2012;21;7;sabado;dia_habil
22/07/2012;2012;22;7;domingo;dia_habil
23/07/2012;2012;23;7;lunes;dia_habil
24/07/2012;2012;24;7;martes;dia_habil
25/07/2012;2012;25;7;miercoles;dia_habil
26/07/2012;2012;26;7;jueves;dia_habil
27/07/2012;2012;27;7;viernes;dia_habil
28/07/2012;2012;28;7;sabado;dia_habil
29/07/2012;2012;29;7;domingo;dia_habil
30/07/2012;2012;30;7;lunes;dia_habil
31/07/2012;2012;31;7;martes;dia_habil
1/08/2012;2012;1;8;miercoles;dia_habil
2/08/2012;2012;2;8;jueves;dia_habil
3/08/2012;2012;3;8;viernes;dia_habil
4/08/2012;2012;4;8;sabado;dia_habil
5/08/2012;2012;5;8;domingo;dia_habil
6/08/2012;2012;6;8;lunes;dia_habil
7/08/2012;2012;7;8;martes;festivo
8/08/2012;2012;8;8;miercoles;dia_habil
9/08/2012;2012;9;8;jueves;dia_habil
10/08/2012;2012;10;8;viernes;dia_habil
11/08/2012;2012;11;8;sabado;dia_habil
12/08/2012;2012;12;8;domingo;dia_habil
13/08/2012;2012;13;8;lunes;dia_habil
14/08/2012;2012;14;8;martes;dia_habil
15/08/2012;2012;15;8;miercoles;dia_habil
16/08/2012;2012;16;8;jueves;dia_habil
17/08/2012;2012;17;8;viernes;dia_habil
18/08/2012;2012;18;8;sabado;dia_habil
19/08/2012;2012;19;8;domingo;dia_habil
20/08/2012;2012;20;8;lunes;festivo
21/08/2012;2012;21;8;martes;dia_habil
22/08/2012;2012;22;8;miercoles;dia_habil
23/08/2012;2012;23;8;jueves;dia_habil
24/08/2012;2012;24;8;viernes;dia_habil
25/08/2012;2012;25;8;sabado;dia_habil
26/08/2012;2012;26;8;domingo;dia_habil
27/08/2012;2012;27;8;lunes;dia_habil
28/08/2012;2012;28;8;martes;dia_habil
29/08/2012;2012;29;8;miercoles;dia_habil
30/08/2012;2012;30;8;jueves;dia_habil
31/08/2012;2012;31;8;viernes;dia_habil
1/09/2012;2012;1;9;sabado;dia_habil
2/09/2012;2012;2;9;domingo;dia_habil
3/09/2012;2012;3;9;lunes;dia_habil
4/09/2012;2012;4;9;martes;dia_habil
5/09/2012;2012;5;9;miercoles;dia_habil
6/09/2012;2012;6;9;jueves;dia_habil
7/09/2012;2012;7;9;viernes;dia_habil
8/09/2012;2012;8;9;sabado;dia_habil
9/09/2012;2012;9;9;domingo;dia_habil
10/09/2012;2012;10;9;lunes;dia_habil
11/09/2012;2012;11;9;martes;dia_habil
12/09/2012;2012;12;9;miercoles;dia_habil
13/09/2012;2012;13;9;jueves;dia_habil
14/09/2012;2012;14;9;viernes;dia_habil
15/09/2012;2012;15;9;sabado;dia_habil
16/09/2012;2012;16;9;domingo;dia_habil
17/09/2012;2012;17;9;lunes;dia_habil
18/09/2012;2012;18;9;martes;dia_habil
19/09/2012;2012;19;9;miercoles;dia_habil
20/09/2012;2012;20;9;jueves;dia_habil
21/09/2012;2012;21;9;viernes;dia_habil
22/09/2012;2012;22;9;sabado;dia_habil
23/09/2012;2012;23;9;domingo;dia_habil
24/09/2012;2012;24;9;lunes;dia_habil
25/09/2012;2012;25;9;martes;dia_habil
26/09/2012;2012;26;9;miercoles;dia_habil
27/09/2012;2012;27;9;jueves;dia_habil
28/09/2012;2012;28;9;viernes;dia_habil
29/09/2012;2012;29;9;sabado;dia_habil
30/09/2012;2012;30;9;domingo;dia_habil
1/10/2012;2012;1;10;lunes;dia_habil
2/10/2012;2012;2;10;martes;dia_habil
3/10/2012;2012;3;10;miercoles;dia_habil
4/10/2012;2012;4;10;jueves;dia_habil
5/10/2012;2012;5;10;viernes;dia_habil
6/10/2012;2012;6;10;sabado;dia_habil
7/10/2012;2012;7;10;domingo;dia_habil
8/10/2012;2012;8;10;lunes;dia_habil
9/10/2012;2012;9;10;martes;dia_habil
10/10/2012;2012;10;10;miercoles;dia_habil
11/10/2012;2012;11;10;jueves;dia_habil
12/10/2012;2012;12;10;viernes;dia_habil
13/10/2012;2012;13;10;sabado;dia_habil
14/10/2012;2012;14;10;domingo;dia_habil
15/10/2012;2012;15;10;lunes;festivo
16/10/2012;2012;16;10;martes;dia_habil
17/10/2012;2012;17;10;miercoles;dia_habil
18/10/2012;2012;18;10;jueves;dia_habil
19/10/2012;2012;19;10;viernes;dia_habil
20/10/2012;2012;20;10;sabado;dia_habil
21/10/2012;2012;21;10;domingo;dia_habil
22/10/2012;2012;22;10;lunes;dia_habil
23/10/2012;2012;23;10;martes;dia_habil
24/10/2012;2012;24;10;miercoles;dia_habil
25/10/2012;2012;25;10;jueves;dia_habil
26/10/2012;2012;26;10;viernes;dia_habil
27/10/2012;2012;27;10;sabado;dia_habil
28/10/2012;2012;28;10;domingo;dia_habil
29/10/2012;2012;29;10;lunes;dia_habil
30/10/2012;2012;30;10;martes;dia_habil
31/10/2012;2012;31;10;miercoles;brujas
1/11/2012;2012;1;11;jueves;dia_habil
2/11/2012;2012;2;11;viernes;dia_habil
3/11/2012;2012;3;11;sabado;dia_habil
4/11/2012;2012;4;11;domingo;dia_habil
5/11/2012;2012;5;11;lunes;festivo
6/11/2012;2012;6;11;martes;dia_habil
7/11/2012;2012;7;11;miercoles;dia_habil
8/11/2012;2012;8;11;jueves;dia_habil
9/11/2012;2012;9;11;viernes;dia_habil
10/11/2012;2012;10;11;sabado;dia_habil
11/11/2012;2012;11;11;domingo;dia_habil
12/11/2012;2012;12;11;lunes;festivo
13/11/2012;2012;13;11;martes;dia_habil
14/11/2012;2012;14;11;miercoles;dia_habil
15/11/2012;2012;15;11;jueves;dia_habil
16/11/2012;2012;16;11;viernes;dia_habil
17/11/2012;2012;17;11;sabado;dia_habil
18/11/2012;2012;18;11;domingo;dia_habil
19/11/2012;2012;19;11;lunes;dia_habil
20/11/2012;2012;20;11;martes;dia_habil
21/11/2012;2012;21;11;miercoles;dia_habil
22/11/2012;2012;22;11;jueves;dia_habil
23/11/2012;2012;23;11;viernes;dia_habil
24/11/2012;2012;24;11;sabado;dia_habil
25/11/2012;2012;25;11;domingo;dia_habil
26/11/2012;2012;26;11;lunes;dia_habil
27/11/2012;2012;27;11;martes;dia_habil
28/11/2012;2012;28;11;miercoles;dia_habil
29/11/2012;2012;29;11;jueves;dia_habil
30/11/2012;2012;30;11;viernes;dia_habil
1/12/2012;2012;1;12;sabado;dia_habil
2/12/2012;2012;2;12;domingo;dia_habil
3/12/2012;2012;3;12;lunes;dia_habil
4/12/2012;2012;4;12;martes;dia_habil
5/12/2012;2012;5;12;miercoles;dia_habil
6/12/2012;2012;6;12;jueves;dia_habil
7/12/2012;2012;7;12;viernes;dia_habil
8/12/2012;2012;8;12;sabado;festivo
9/12/2012;2012;9;12;domingo;dia_habil
10/12/2012;2012;10;12;lunes;dia_habil
11/12/2012;2012;11;12;martes;dia_habil
12/12/2012;2012;12;12;miercoles;dia_habil
13/12/2012;2012;13;12;jueves;dia_habil
14/12/2012;2012;14;12;viernes;dia_habil
15/12/2012;2012;15;12;sabado;dia_habil
16/12/2012;2012;16;12;domingo;dia_habil
17/12/2012;2012;17;12;lunes;dia_habil
18/12/2012;2012;18;12;martes;dia_habil
19/12/2012;2012;19;12;miercoles;dia_habil
20/12/2012;2012;20;12;jueves;dia_habil
21/12/2012;2012;21;12;viernes;dia_habil
22/12/2012;2012;22;12;sabado;dia_habil
23/12/2012;2012;23;12;domingo;dia_habil
24/12/2012;2012;24;12;lunes;dia_habil
25/12/2012;2012;25;12;martes;navidad
26/12/2012;2012;26;12;miercoles;dia_habil
27/12/2012;2012;27;12;jueves;dia_habil
28/12/2012;2012;28;12;viernes;dia_habil
29/12/2012;2012;29;12;sabado;dia_habil
30/12/2012;2012;30;12;domingo;dia_habil
31/12/2012;2012;31;12;lunes;a_viejo
1/01/2013;2013;1;1;martes;a_nuevo
2/01/2013;2013;2;1;miercoles;dia_habil
3/01/2013;2013;3;1;jueves;dia_habil
4/01/2013;2013;4;1;viernes;dia_habil
5/01/2013;2013;5;1;sabado;dia_habil
6/01/2013;2013;6;1;domingo;dia_habil
7/01/2013;2013;7;1;lunes;dia_habil
8/01/2013;2013;8;1;martes;dia_habil
9/01/2013;2013;9;1;miercoles;dia_habil
10/01/2013;2013;10;1;jueves;dia_habil
11/01/2013;2013;11;1;viernes;dia_habil
12/01/2013;2013;12;1;sabado;dia_habil
13/01/2013;2013;13;1;domingo;dia_habil
14/01/2013;2013;14;1;lunes;festivo
15/01/2013;2013;15;1;martes;dia_habil
16/01/2013;2013;16;1;miercoles;dia_habil
17/01/2013;2013;17;1;jueves;dia_habil
18/01/2013;2013;18;1;viernes;dia_habil
19/01/2013;2013;19;1;sabado;dia_habil
20/01/2013;2013;20;1;domingo;dia_habil
21/01/2013;2013;21;1;lunes;dia_habil
22/01/2013;2013;22;1;martes;dia_habil
23/01/2013;2013;23;1;miercoles;dia_habil
24/01/2013;2013;24;1;jueves;dia_habil
25/01/2013;2013;25;1;viernes;dia_habil
26/01/2013;2013;26;1;sabado;dia_habil
27/01/2013;2013;27;1;domingo;dia_habil
28/01/2013;2013;28;1;lunes;dia_habil
29/01/2013;2013;29;1;martes;dia_habil
30/01/2013;2013;30;1;miercoles;dia_habil
31/01/2013;2013;31;1;jueves;dia_habil
1/02/2013;2013;1;2;viernes;dia_habil
2/02/2013;2013;2;2;sabado;dia_habil
3/02/2013;2013;3;2;domingo;dia_habil
4/02/2013;2013;4;2;lunes;dia_habil
5/02/2013;2013;5;2;martes;dia_habil
6/02/2013;2013;6;2;miercoles;dia_habil
7/02/2013;2013;7;2;jueves;dia_habil
8/02/2013;2013;8;2;viernes;dia_habil
9/02/2013;2013;9;2;sabado;dia_habil
10/02/2013;2013;10;2;domingo;dia_habil
11/02/2013;2013;11;2;lunes;dia_habil
12/02/2013;2013;12;2;martes;dia_habil
13/02/2013;2013;13;2;miercoles;dia_habil
14/02/2013;2013;14;2;jueves;dia_habil
15/02/2013;2013;15;2;viernes;dia_habil
16/02/2013;2013;16;2;sabado;dia_habil
17/02/2013;2013;17;2;domingo;dia_habil
18/02/2013;2013;18;2;lunes;dia_habil
19/02/2013;2013;19;2;martes;dia_habil
20/02/2013;2013;20;2;miercoles;dia_habil
21/02/2013;2013;21;2;jueves;dia_habil
22/02/2013;2013;22;2;viernes;dia_habil
23/02/2013;2013;23;2;sabado;dia_habil
24/02/2013;2013;24;2;domingo;dia_habil
25/02/2013;2013;25;2;lunes;dia_habil
26/02/2013;2013;26;2;martes;dia_habil
27/02/2013;2013;27;2;miercoles;dia_habil
28/02/2013;2013;28;2;jueves;dia_habil
1/03/2013;2013;1;3;viernes;dia_habil
2/03/2013;2013;2;3;sabado;dia_habil
3/03/2013;2013;3;3;domingo;dia_habil
4/03/2013;2013;4;3;lunes;dia_habil
5/03/2013;2013;5;3;martes;dia_habil
6/03/2013;2013;6;3;miercoles;dia_habil
7/03/2013;2013;7;3;jueves;dia_habil
8/03/2013;2013;8;3;viernes;dia_habil
9/03/2013;2013;9;3;sabado;dia_habil
10/03/2013;2013;10;3;domingo;dia_habil
11/03/2013;2013;11;3;lunes;dia_habil
12/03/2013;2013;12;3;martes;dia_habil
13/03/2013;2013;13;3;miercoles;dia_habil
14/03/2013;2013;14;3;jueves;dia_habil
15/03/2013;2013;15;3;viernes;dia_habil
16/03/2013;2013;16;3;sabado;dia_habil
17/03/2013;2013;17;3;domingo;dia_habil
18/03/2013;2013;18;3;lunes;dia_habil
19/03/2013;2013;19;3;martes;dia_habil
20/03/2013;2013;20;3;miercoles;dia_habil
21/03/2013;2013;21;3;jueves;dia_habil
22/03/2013;2013;22;3;viernes;dia_habil
23/03/2013;2013;23;3;sabado;dia_habil
24/03/2013;2013;24;3;domingo;sem_santa
25/03/2013;2013;25;3;lunes;sem_santa
26/03/2013;2013;26;3;martes;sem_santa
27/03/2013;2013;27;3;miercoles;sem_santa
28/03/2013;2013;28;3;jueves;sem_santa
